Evaporation Temperature (°C),Coefficient Of Thermal Expansion (1/K)
1.7616698215644844,5.942133686638089,0.35% montmorillonite/TGPAP
8.251622312463518,5.755129338560479,0.35% montmorillonite/TGPAP
8.901069997821693,5.6944524007375,0.35% montmorillonite/TGPAP
1.7616698215644844,6.056252366693736,0.36% montmorillonite/TGPAP
8.251622312463518,5.726637835462327,0.36% montmorillonite/TGPAP
8.901069997821693,5.696170343899995,0.36% montmorillonite/TGPAP
1.7616698215644844,2.230543297535963,0.74% montmorillonite/TGPAP
8.251622312463518,6.851648084473113,0.74% montmorillonite/TGPAP
8.901069997821693,23.758647831189727,0.74% montmorillonite/TGPAP
1.7616698215644844,0.8991547739116411,0.35% montmorillonite/TGPAP
8.251622312463518,0.5386805941208394,0.35% montmorillonite/TGPAP
8.901069997821693,0.47051027271133516,0.35% montmorillonite/TGPAP
1.7616698215644844,4.898691227306307,0.68% montmorillonite/TGPAP
8.251622312463518,18.835129885301548,0.68% montmorillonite/TGPAP
8.901069997821693,21.78574483503823,0.68% montmorillonite/TGPAP
