Particle Size (nm),Particle Size (nm)
2.2504745476210197,4.036040034069832,0.72% Colloidal silica
4.569209985426575,3.9334112061532087,0.72% Colloidal silica
13.81401590215993,3.631902801294316,0.72% Colloidal silica
15.26240638954638,3.6259842493582,0.72% Colloidal silica
16.381546090912007,3.6219642156185445,0.72% Colloidal silica
2.2504745476210197,-5.703354172735927,0.04% Colloidal silica
4.569209985426575,-5.770779897985198,0.04% Colloidal silica
13.81401590215993,-6.231378954975191,0.04% Colloidal silica
15.26240638954638,-6.272618537046488,0.04% Colloidal silica
16.381546090912007,-6.2840155047183295,0.04% Colloidal silica
2.2504745476210197,-0.8940404235352005,0.14% Colloidal silica
4.569209985426575,-0.6586038344792063,0.14% Colloidal silica
13.81401590215993,1.0209045627750166,0.14% Colloidal silica
15.26240638954638,4.329834015105677,0.14% Colloidal silica
16.381546090912007,0.29224860254574336,0.14% Colloidal silica
