Volume Fraction (%),Dielectric Breakdown Strength (MV/m)
0,6.252002829005493,talc/Poly(vinyl alcohol)
8,7.759990102027345,talc/Poly(vinyl alcohol)
9,6.709721861032269,talc/Poly(vinyl alcohol)
0,-3.2813261907864826,cellulose nanocrystals/Poly(vinyl alcohol)
8,-1.3571778356848037,cellulose nanocrystals/Poly(vinyl alcohol)
9,-1.7937231733227765,cellulose nanocrystals/Poly(vinyl alcohol)
0,-1.410910969892985,Cloisite/Poly(vinyl alcohol)
8,0.6755608935596102,Cloisite/Poly(vinyl alcohol)
9,0.9349264101640893,Cloisite/Poly(vinyl alcohol)
0,4.47624115723994,Silver/Poly(vinyl alcohol)
8,3.09411520008184,Silver/Poly(vinyl alcohol)
9,3.0584677858081184,Silver/Poly(vinyl alcohol)
