Glass Transition Temperature (°C),Corrosion Rate (mm/year)
7,4.2826194910147946,0.94% 9-anthracenemethanol/Poly(BA-a)
8,4.216591777569894,0.94% 9-anthracenemethanol/Poly(BA-a)
13,4.152341594523592,0.94% 9-anthracenemethanol/Poly(BA-a)
17,4.135822877567415,0.94% 9-anthracenemethanol/Poly(BA-a)
1,-6.223885896939533,0.74% 9-anthracenemethanol/Poly(BA-a)
2,-6.051270317313707,0.74% 9-anthracenemethanol/Poly(BA-a)
6,-5.785561944398841,0.74% 9-anthracenemethanol/Poly(BA-a)
11,-3.5528448294077934,0.74% 9-anthracenemethanol/Poly(BA-a)
8,4.247178636025544,0.45% 9-anthracenemethanol/Poly(BA-a)
9,4.23438044100519,0.45% 9-anthracenemethanol/Poly(BA-a)
17,4.1716419113254055,0.45% 9-anthracenemethanol/Poly(BA-a)
18,4.170084192629864,0.45% 9-anthracenemethanol/Poly(BA-a)
2,1.9179145768647745,0.22% 9-anthracenemethanol/Poly(BA-a)
4,1.7325734892994598,0.22% 9-anthracenemethanol/Poly(BA-a)
5,1.7036652587638361,0.22% 9-anthracenemethanol/Poly(BA-a)
19,1.1771976857871795,0.22% 9-anthracenemethanol/Poly(BA-a)
