Light Intensity (W/m²),Heat Of Crystallization (J/g)
0,8.22655716520543,"0.92% Iron (II,III) Oxide"
2,7.966756800599896,"0.92% Iron (II,III) Oxide"
5,7.64554629071993,"0.92% Iron (II,III) Oxide"
6,7.622872392103293,"0.92% Iron (II,III) Oxide"
19,7.4307424548972305,"0.92% Iron (II,III) Oxide"
0,5.504694013447535,"0.01% Iron (II,III) Oxide"
2,5.214467395952076,"0.01% Iron (II,III) Oxide"
5,4.950914293245965,"0.01% Iron (II,III) Oxide"
6,4.819736704927712,"0.01% Iron (II,III) Oxide"
19,4.676305558410672,"0.01% Iron (II,III) Oxide"
0,7.5352553691672375,"0.02% Iron (II,III) Oxide"
2,7.8341002471406425,"0.02% Iron (II,III) Oxide"
5,7.395156884250144,"0.02% Iron (II,III) Oxide"
6,7.221622295939646,"0.02% Iron (II,III) Oxide"
19,11.581166532806693,"0.02% Iron (II,III) Oxide"
