Thermal Diffusivity (mm²/s),Dielectric Loss
2,-4.040444868769376,
5,-3.8545397416446363,
7,-4.055839456814507,
14,3.5150768254154556,
18,-6.12825591237905,
2,-1.6404656964521314,
5,-1.7590988675505834,
7,-1.8913637580757439,
14,-2.1548147266324236,
18,-2.218933790415263,
2,-3.2061354349916535,
5,-3.4962840043912,
7,-3.604186890473235,
14,-3.7109280226554846,
18,-3.7222723604106345,
2,0.20386491282713315,
5,-0.13227667195867376,
7,-0.2725847774785858,
14,-0.3812979284449763,
18,-0.392156637177055,
2,8.840090474958012,
5,8.431143700708507,
7,8.216114773945005,
14,7.960187980566958,
18,7.8833328370688225,
