Thermal Conductivity (W/(m·K)),Permittivity
0,-0.504866640701454,EPDM
3,-0.7837613104303742,EPDM
4,-0.9390199150599639,EPDM
10,-1.2130702380565155,EPDM
15,-1.2537080949259813,EPDM
18,-1.2605735448013782,EPDM
0,8.983406636657502,PCL
3,10.046782103114468,PCL
4,11.477559765895043,PCL
10,11.912108586023615,PCL
15,44.01838954056275,PCL
18,-76.94275433056166,PCL
0,-2.2136134721346234,Polyphenylsulfone
3,-1.9191754035958597,Polyphenylsulfone
4,-2.134132606513014,Polyphenylsulfone
10,-1.520538741082467,Polyphenylsulfone
15,3.069118180869177,Polyphenylsulfone
18,-12.775352603893763,Polyphenylsulfone
0,3.6913914090626174,Nylon 6(3)T
3,3.1452912840987475,Nylon 6(3)T
4,3.335419477015231,Nylon 6(3)T
10,2.9528856085760635,Nylon 6(3)T
15,2.7865173791683175,Nylon 6(3)T
18,2.740723490125305,Nylon 6(3)T
