Annealing Temperature (°C),Hardness (HV)
0.9180392748751265,5.0765091302444985,0.55% MMT
4.120970664661754,5.342066256182763,0.55% MMT
5.560603344921553,6.35444253258229,0.55% MMT
5.745766665075626,6.384883098024922,0.55% MMT
15.620567932210516,12.996892600839976,0.55% MMT
16.05876672787438,16.69601684438879,0.55% MMT
0.9180392748751265,2.5760163898600537,0.09% MMT
4.120970664661754,2.217562454087873,0.09% MMT
5.560603344921553,2.147667080534073,0.09% MMT
5.745766665075626,2.1300612074472625,0.09% MMT
15.620567932210516,1.976129032909148,0.09% MMT
16.05876672787438,1.974909813918974,0.09% MMT
0.9180392748751265,-3.948401466576052,0.33% MMT
4.120970664661754,-4.2123763443033315,0.33% MMT
5.560603344921553,-4.305858165664835,0.33% MMT
5.745766665075626,-4.326898804829625,0.33% MMT
15.620567932210516,-4.700164364544863,0.33% MMT
16.05876672787438,-4.698179454983735,0.33% MMT
