Elongation At Break (%),Crystallinity (%)
1,4.199205754171336,single-walled CNT/PA 11
2,4.737869498318016,single-walled CNT/PA 11
6,8.786382250431842,single-walled CNT/PA 11
1,8.050734215873998,Fe2O3/PA 11
2,7.872314126044967,Fe2O3/PA 11
6,7.551221358747506,Fe2O3/PA 11
1,-6.000167517647553,silicon dioxide/PA 11
2,-5.779210857545559,silicon dioxide/PA 11
6,-1.7953934432473968,silicon dioxide/PA 11
1,5.574035763480813,Titanium dioxide/PA 11
2,5.520329315349604,Titanium dioxide/PA 11
6,5.106189812195414,Titanium dioxide/PA 11
1,8.783227846746467,Colloidal silica/PA 11
2,8.780544845638985,Colloidal silica/PA 11
6,8.488810276328556,Colloidal silica/PA 11
