Polymer Molecular Weight (g/mol),Glass Transition Temperature (°C)
2.464145249491423,-3.3940347390482546,
7.714038265847451,-3.760955728852502,
11.621880141748997,-3.8184374510534793,
15.37654424258091,-3.842583063189687,
2.464145249491423,-4.369136891491118,
7.714038265847451,-2.3731482090124993,
11.621880141748997,-4.535343057666662,
15.37654424258091,2.5338591217551194,
2.464145249491423,-1.7456928191409038,
7.714038265847451,-2.2533667835821167,
11.621880141748997,-2.326408593022853,
15.37654424258091,-2.347834370840321,
2.464145249491423,5.125110098111427,
7.714038265847451,4.72865706763173,
11.621880141748997,4.667054997559583,
15.37654424258091,4.644745711131741,
