Storage Time (days),Specific Viscosity
0,-6.753823775801407,Poly(styrene-co-acrylonitrile)
2,-5.325923314275746,Poly(styrene-co-acrylonitrile)
7,4.983818194929322,Poly(styrene-co-acrylonitrile)
8,7.96245554917607,Poly(styrene-co-acrylonitrile)
10,24.35119729970647,Poly(styrene-co-acrylonitrile)
2.7665552244731018,-2.3475662688540493,PAM
4.595913587446995,-2.5757812401435722,PAM
5.278695584568913,-2.6362123489437677,PAM
8.17620640138885,-2.7461355048938123,PAM
15.372283556184904,-2.8210740231848535,PAM
0,-5.936140182575302,BECy
2,-6.1303224136703225,BECy
3,-6.412601242082696,BECy
8,-6.7110505144610295,BECy
19,-6.9870180921385305,BECy
