Neutron Flux (n/cm²/s),Thermal Diffusivity (mm²/s)
5.508667095672008,3.832322072050534,DGEBD
5.884262006044432,3.720033488095539,DGEBD
12.651342496219002,6.072826393476706,DGEBD
16.35848595125602,3.8583194421185176,DGEBD
19.99912452669248,23.63846870572783,DGEBD
5.508667095672008,-0.3538054430274172,Poly(2-hydroxyethyl acrylate)
5.884262006044432,-0.34682105610225356,Poly(2-hydroxyethyl acrylate)
12.651342496219002,-0.5022823592893604,Poly(2-hydroxyethyl acrylate)
16.35848595125602,-0.5187928967444669,Poly(2-hydroxyethyl acrylate)
19.99912452669248,-0.5234313480540369,Poly(2-hydroxyethyl acrylate)
5.508667095672008,-1.809916960071553,PLA
5.884262006044432,-3.023083163215704,PLA
12.651342496219002,0.6718809827796903,PLA
16.35848595125602,14.577178696188541,PLA
19.99912452669248,15.165082433690968,PLA
5.508667095672008,2.4700372984584424,Poly(vinyl alcohol)
5.884262006044432,2.4365428288020787,Poly(vinyl alcohol)
12.651342496219002,2.172274736263341,Poly(vinyl alcohol)
16.35848595125602,2.0715622623130963,Poly(vinyl alcohol)
19.99912452669248,2.0195883072068255,Poly(vinyl alcohol)
