Magnetic Field Strength (T),Thermal Conductivity (W/(m·K))
8,8.957604217082096,0.33% ZrO2
14,22.78826051669837,0.33% ZrO2
15,20.766500237164575,0.33% ZrO2
18,619.3224670196249,0.33% ZrO2
8,5.346384207038542,0.8% ZrO2
14,6.6586560836233275,0.8% ZrO2
15,2.621293591643261,0.8% ZrO2
18,1.8995910894901993,0.8% ZrO2
8,8.007192461971087,0.17% ZrO2
14,185.96264961301796,0.17% ZrO2
15,230.99868546910895,0.17% ZrO2
18,189.3663240118783,0.17% ZrO2
8,1.8300522707084865,0.79% ZrO2
14,1.2238187979647628,0.79% ZrO2
15,-2.8601479748061767,0.79% ZrO2
18,8.494560984912829,0.79% ZrO2
