Ion Beam Dose (Gy),Flexural Modulus (GPa)
1,8.91336760558714,Cellulose/E-SBR
10,11.07600299098657,Cellulose/E-SBR
14,38.596176576474406,Cellulose/E-SBR
15,47.99634106079529,Cellulose/E-SBR
1,3.540635856677614,Na2TiO3/E-SBR
10,4.087860097475573,Na2TiO3/E-SBR
14,6.173692370665579,Na2TiO3/E-SBR
15,6.7184816449167615,Na2TiO3/E-SBR
1,7.603054124841466,MWCNT/E-SBR
10,26.355695919015485,MWCNT/E-SBR
14,93.30456967102722,MWCNT/E-SBR
15,116.82053378545449,MWCNT/E-SBR
1,2.657179059191065,Silicon carbide/E-SBR
10,3.7941580362418854,Silicon carbide/E-SBR
14,4.740442983403305,Silicon carbide/E-SBR
15,5.193226042221701,Silicon carbide/E-SBR
