Volume Fraction,Zeta Potential (mV)
0,-4.338895844095083,Poly(propylene)
6,-5.318738446875617,Poly(propylene)
16,-5.442073521919214,Poly(propylene)
18,-5.44579331956236,Poly(propylene)
2,2.059641166216829,PA 6T
6,3.981441694056331,PA 6T
11,37.98183730717622,PA 6T
12,42.39229100593815,PA 6T
2.120960510812928,0.14777106153977337,P(VDF-TrFE-CTFE)
8.022583799264783,7.849182462663215,P(VDF-TrFE-CTFE)
8.996313587717207,15.883341660819019,P(VDF-TrFE-CTFE)
13.97114165102793,100.86917827750318,P(VDF-TrFE-CTFE)
4.7480876902009665,1.7443040468676831,PMMA-PnBA-PMMA
5.9183917560658745,2.00611778990325,PMMA-PnBA-PMMA
10.384424854267989,2.445528026114525,PMMA-PnBA-PMMA
19.574013461654015,29.732923824032316,PMMA-PnBA-PMMA
