Storage Time (days),Passivation Current Density (A/m²)
1.741692076105712,-2.6952433272540697,Poly(bisphenol A carbonate)
2.1165607365816363,-2.159828900918778,Poly(bisphenol A carbonate)
10.115708662457134,-0.0716799916121964,Poly(bisphenol A carbonate)
11.658083829895565,9.928518527356228,Poly(bisphenol A carbonate)
18.029369949002106,465.49845359875843,Poly(bisphenol A carbonate)
1.741692076105712,-5.743022978499076,Poly(tetrafluoroethylene)
2.1165607365816363,-5.543225195077515,Poly(tetrafluoroethylene)
10.115708662457134,-6.17488695564763,Poly(tetrafluoroethylene)
11.658083829895565,-6.191127178625857,Poly(tetrafluoroethylene)
18.029369949002106,-6.219832420312075,Poly(tetrafluoroethylene)
1.741692076105712,5.347422467755976,P4VP
2.1165607365816363,5.339633565150425,P4VP
10.115708662457134,30.07918403203795,P4VP
11.658083829895565,17.442708422845953,P4VP
18.029369949002106,519.7130000418696,P4VP
1.741692076105712,-2.536855639871188,PBI
2.1165607365816363,-2.779907427615388,PBI
10.115708662457134,-2.69484682954574,PBI
11.658083829895565,-0.07588159136796868,PBI
18.029369949002106,1.0355332199049965,PBI
