Coefficient Of Thermal Expansion (1/K),Coercivity (A/m)
6,-7.42859434787736,
8,-7.40190166992358,
12,-7.556314687114482,
14,-7.582285296077487,
18,-7.673792269285042,
6,-3.907207301936757,
8,-4.0302230394017755,
12,-4.221494881218035,
14,-4.2379139743703105,
18,-4.340592726048239,
6,6.118900312218535,
8,12.02669995142465,
12,10.65453230723726,
14,60.50703873438597,
18,311.9288250971621,
6,4.219637379036791,
8,4.6022353903469195,
12,5.620462737560469,
14,7.73073352194162,
18,-14.967411971352789,
