EV (V),Impact Strength (kJ/m²)
9,3.423206498055423,0.07% carbon nanotube
17,16.034508334362982,0.07% carbon nanotube
19,-7.167839246334353,0.07% carbon nanotube
2,7.200580750460001,0.38% carbon nanotube
16,16.42934313807435,0.38% carbon nanotube
19,11.817471284392674,0.38% carbon nanotube
2,4.641676065458354,0.77% carbon nanotube
4,4.373813314358759,0.77% carbon nanotube
18,4.135507187735082,0.77% carbon nanotube
10.307760284369444,4.26365678903393,0.69% carbon nanotube
11.999194866411965,4.249733269441378,0.69% carbon nanotube
18.13764354727198,4.224710376634305,0.69% carbon nanotube
