Electric Field (V/m),Conductivity (S/m)
1,-1.7455472277680069,0.92% Aluminium dioxide/PMMA-PtBA
5,-1.790798172000723,0.92% Aluminium dioxide/PMMA-PtBA
10,-2.0112238998797953,0.92% Aluminium dioxide/PMMA-PtBA
16,-2.1612434816331887,0.92% Aluminium dioxide/PMMA-PtBA
18,-2.2045557991834532,0.92% Aluminium dioxide/PMMA-PtBA
1,0.5322554524156944,0.52% Aluminium dioxide/PMMA-PtBA
5,0.9950885250643655,0.52% Aluminium dioxide/PMMA-PtBA
10,1.1573869331000242,0.52% Aluminium dioxide/PMMA-PtBA
16,7.976986684057122,0.52% Aluminium dioxide/PMMA-PtBA
18,0.7124903410934138,0.52% Aluminium dioxide/PMMA-PtBA
1,0.7271926128565056,0.58% Aluminium dioxide/PMMA-PtBA
5,1.4347782694821654,0.58% Aluminium dioxide/PMMA-PtBA
10,0.8548241121649041,0.58% Aluminium dioxide/PMMA-PtBA
16,4.088664864251723,0.58% Aluminium dioxide/PMMA-PtBA
18,11.310543047588418,0.58% Aluminium dioxide/PMMA-PtBA
1,8.37939125414342,0.76% Aluminium dioxide/PMMA-PtBA
5,9.822549005346184,0.76% Aluminium dioxide/PMMA-PtBA
10,30.617741890024732,0.76% Aluminium dioxide/PMMA-PtBA
16,-31.260784752102587,0.76% Aluminium dioxide/PMMA-PtBA
18,-12.786096194785918,0.76% Aluminium dioxide/PMMA-PtBA
