Annealing Temperature (°C),Conductivity (S/m)
1,2.5998736957782826,0.1% Magnesium oxide/Nylon 12
6,3.132968530467786,0.1% Magnesium oxide/Nylon 12
8,5.75241151055408,0.1% Magnesium oxide/Nylon 12
10,3.7999394319427076,0.1% Magnesium oxide/Nylon 12
15,5.742201900633846,0.1% Magnesium oxide/Nylon 12
17,0.7648199720083397,0.1% Magnesium oxide/Nylon 12
6.222564073937773,18.011904565433362,0.83% Magnesium oxide/Nylon 12
7.677032385955663,17.41998918483502,0.83% Magnesium oxide/Nylon 12
12.184007448020944,66.63674509107045,0.83% Magnesium oxide/Nylon 12
14.553027775823734,-10.684440502171881,0.83% Magnesium oxide/Nylon 12
15.859313633858815,260.49973872507263,0.83% Magnesium oxide/Nylon 12
17.859417079404917,339.7666661728466,0.83% Magnesium oxide/Nylon 12
0.728931082205666,-2.1263135294491247,0.37% Magnesium oxide/Nylon 12
1.5989802465610325,-1.9745208613374545,0.37% Magnesium oxide/Nylon 12
11.307464987986167,-2.5376819257804413,0.37% Magnesium oxide/Nylon 12
12.558035265071313,-2.600614767687967,0.37% Magnesium oxide/Nylon 12
16.90607003021905,-2.6785251780565535,0.37% Magnesium oxide/Nylon 12
18.76807309045555,-2.717630004026276,0.37% Magnesium oxide/Nylon 12
