Young’s Modulus (GPa),Loss Factor
0,5.226445323288592,0.57% barium strontium titanate
1,5.088142448279471,0.57% barium strontium titanate
7,4.530998860913469,0.57% barium strontium titanate
10,4.46513213421841,0.57% barium strontium titanate
12,4.443562120556825,0.57% barium strontium titanate
0,4.215294117621878,0.83% barium strontium titanate
1,3.872210906202396,0.83% barium strontium titanate
7,3.1287565145766933,0.83% barium strontium titanate
10,3.0409925870534313,0.83% barium strontium titanate
12,3.025547328820766,0.83% barium strontium titanate
