Surfactant Concentration (M),Thermal Resistance (K/W)
6.0214261361578325,7.279332895744455,
12.729985514774071,6.998546120998169,
14.211671540639411,6.978272409064702,
16.84385936872369,6.905514349467382,
6.0214261361578325,2.5578515727358075,
12.729985514774071,2.435000472706536,
14.211671540639411,2.4263662155948515,
16.84385936872369,2.420031193451413,
6.0214261361578325,-5.265621535887097,
12.729985514774071,-2.2965433680431424,
14.211671540639411,-6.086623176942404,
16.84385936872369,1.0339701121544316,
6.0214261361578325,4.752832811288817,
12.729985514774071,9.40679721798072,
14.211671540639411,3.320812520204993,
16.84385936872369,6.808532498900421,
6.0214261361578325,-4.943046778378667,
12.729985514774071,-2.2859507131227144,
14.211671540639411,-5.791018296135626,
16.84385936872369,7.0215596093396115,
