EV (V),Pore Size (nm)
1,-2.054072362330864,0.99% MoS2/PVC
5,-1.2801739272097028,0.99% MoS2/PVC
8,18.10574210771215,0.99% MoS2/PVC
9,12.033236695526973,0.99% MoS2/PVC
10,14.456576301578249,0.99% MoS2/PVC
12,36.25420609106257,0.99% MoS2/PVC
1,4.7521632237559475,0.76% MoS2/PVC
5,5.684467533598741,0.76% MoS2/PVC
8,6.676038653985502,0.76% MoS2/PVC
9,7.482797387265377,0.76% MoS2/PVC
10,8.739030108621286,0.76% MoS2/PVC
12,8.664172910870919,0.76% MoS2/PVC
1,-6.851463349227651,0.24% MoS2/PVC
5,-7.1755626853722685,0.24% MoS2/PVC
8,-7.399106514062023,0.24% MoS2/PVC
9,-7.490371665226393,0.24% MoS2/PVC
10,-7.450837435139093,0.24% MoS2/PVC
12,-7.519677961146485,0.24% MoS2/PVC
1,7.508447478614927,0.6% MoS2/PVC
5,11.270860525722915,0.6% MoS2/PVC
8,22.32287073659657,0.6% MoS2/PVC
9,32.24862584767094,0.6% MoS2/PVC
10,24.28942053319666,0.6% MoS2/PVC
12,39.85799159223289,0.6% MoS2/PVC
