EV (V),Flexural Modulus (GPa)
0,-4.399790369078883,0.12% multi-walled CNT/PDMS
8,-4.8353328893648015,0.12% multi-walled CNT/PDMS
10,-4.962467759157653,0.12% multi-walled CNT/PDMS
13,-5.083554734673915,0.12% multi-walled CNT/PDMS
15,-5.101862285034013,0.12% multi-walled CNT/PDMS
0,-5.747238513502442,0.28% multi-walled CNT/PDMS
8,-6.910178451079255,0.28% multi-walled CNT/PDMS
10,-6.9636787453638815,0.28% multi-walled CNT/PDMS
13,-6.991485529261622,0.28% multi-walled CNT/PDMS
15,-7.0020553859593155,0.28% multi-walled CNT/PDMS
