Temperature (°C),Intrinsic Viscosity (dl/g)
0,-0.43747680371148556,carbon black/ABS
9,25.78888546201297,carbon black/ABS
12,39.89249451936323,carbon black/ABS
13,76.54670275811127,carbon black/ABS
14,59.64186158090236,carbon black/ABS
0,-2.1809654710102953,Poly(vinyl alcohol)/ABS
9,-1.4802522846306498,Poly(vinyl alcohol)/ABS
12,53.8824987986065,Poly(vinyl alcohol)/ABS
13,78.11304377540267,Poly(vinyl alcohol)/ABS
14,93.76792860500089,Poly(vinyl alcohol)/ABS
0,-0.3325162514174014,titania/ABS
9,-1.3301919606998007,titania/ABS
12,-1.376474483735263,titania/ABS
13,-1.385688216219405,titania/ABS
14,-1.3909755972591886,titania/ABS
0,-2.078610924439281,White spirits/ABS
9,9.210414190777731,White spirits/ABS
12,25.09483582393812,White spirits/ABS
13,89.8603907640088,White spirits/ABS
14,180.42921828616133,White spirits/ABS
0,-0.2048793574106782,OFG/ABS
9,1.2100118122462953,OFG/ABS
12,1.2537135173078893,OFG/ABS
13,1.3821227440541093,OFG/ABS
14,4.392147560701644,OFG/ABS
