Heat Treatment Temperature (°C),Thermal Stability (°C)
6,6.6716131577110955,graphene platelet/PEG
11,54.354867618928985,graphene platelet/PEG
13,24.658500059973385,graphene platelet/PEG
14,70.92241546951456,graphene platelet/PEG
6,4.988641193311729,Cu(HO3PC6H5)2/PEG
11,26.52201751538515,Cu(HO3PC6H5)2/PEG
13,3.524151576276477,Cu(HO3PC6H5)2/PEG
14,40.43829614638349,Cu(HO3PC6H5)2/PEG
6,5.035397812408833,White spirits/PEG
11,4.819089315117896,White spirits/PEG
13,4.770261405377093,White spirits/PEG
14,4.766125463178979,White spirits/PEG
6,-2.2522212384105935,Furnace black/PEG
11,-2.483188044992205,Furnace black/PEG
13,-2.5523128727804307,Furnace black/PEG
14,-2.573042887492558,Furnace black/PEG
6,-4.503504454849491,Copper(II) phenyl phosphate/PEG
11,-4.722346260860522,Copper(II) phenyl phosphate/PEG
13,-4.771352194354628,Copper(II) phenyl phosphate/PEG
14,-4.782303724691336,Copper(II) phenyl phosphate/PEG
