Particle Density,Fatigue Strength (MPa)
9.380117534970449,-2.6258019125543366,0.44% TiNTs
11.198992015004585,-2.665832894187132,0.44% TiNTs
13.518217160824069,-2.7360336924703996,0.44% TiNTs
9.380117534970449,6.764230667198308,0.29% TiNTs
11.198992015004585,6.705686132802158,0.29% TiNTs
13.518217160824069,6.634268748797052,0.29% TiNTs
9.380117534970449,7.041382299826263,0.55% TiNTs
11.198992015004585,7.014217463982099,0.55% TiNTs
13.518217160824069,6.997998554149624,0.55% TiNTs
9.380117534970449,-1.7488033180384437,0.9% TiNTs
11.198992015004585,-0.49840562436196345,0.9% TiNTs
13.518217160824069,-4.299613852408203,0.9% TiNTs
