Reaction Time (h),Hysteresis Loss (J/m³)
3.367886122233883,2.5536802730869517,OAP-POSS/VER
12.452527687281773,2.304940318939755,OAP-POSS/VER
14.844336408046924,2.291522160590936,OAP-POSS/VER
17.44776918343596,2.2860963330703896,OAP-POSS/VER
19.23398379462673,2.283957283062059,OAP-POSS/VER
0,-2.2182802339056202,Barium titanate/VER
5,-2.753783512741533,Barium titanate/VER
8,-2.7944999893156193,Barium titanate/VER
12,-2.968700343352668,Barium titanate/VER
14,-3.0306904212306383,Barium titanate/VER
