Exposure Time (h),Complex Modulus (Pa)
0,-1.2452134214134494,0.56% expanded graphite/DGEBF
2,-1.8697493643063858,0.56% expanded graphite/DGEBF
11,-2.280094376395935,0.56% expanded graphite/DGEBF
13,-2.294625576162878,0.56% expanded graphite/DGEBF
14,-2.300101209086498,0.56% expanded graphite/DGEBF
2,-0.6427822453123586,0.27% expanded graphite/DGEBF
8,5.877706055577747,0.27% expanded graphite/DGEBF
13,24.847621818289728,0.27% expanded graphite/DGEBF
16,195.24755775275125,0.27% expanded graphite/DGEBF
18,284.1951511353824,0.27% expanded graphite/DGEBF
0,-6.423629880089722,0.5% expanded graphite/DGEBF
12,-7.382274583932075,0.5% expanded graphite/DGEBF
13,-7.3896540330209985,0.5% expanded graphite/DGEBF
16,-7.401241204937436,0.5% expanded graphite/DGEBF
19,-7.405914127114561,0.5% expanded graphite/DGEBF
