Dielectric Loss,Permittivity
4,6.280211917426417,Epoxy novolac viny ester resin
5,6.3184276573337925,Epoxy novolac viny ester resin
7,6.032298988361781,Epoxy novolac viny ester resin
17,5.653198042719694,Epoxy novolac viny ester resin
4,-4.842214737359674,PTFE
5,-5.885785495106275,PTFE
7,-4.237226197446654,PTFE
17,-6.96696087678707,PTFE
4,-1.9856914825199172,P(BA-a)
5,3.8928246424892308,P(BA-a)
7,-3.7389697494602085,P(BA-a)
17,-20.497871751893978,P(BA-a)
4,2.6005535882444653,SAN
5,2.4247853549824927,SAN
7,2.223616239229257,SAN
17,1.9894432249056302,SAN
