Reaction Time (h),Specific Heat (J/(g·K))
0.6486691550723833,4.963836540500322,Bentonite clay/Poly(ethylene glycol)
8.408020429918903,4.4225724141985365,Bentonite clay/Poly(ethylene glycol)
9.972051702317675,4.377526282741929,Bentonite clay/Poly(ethylene glycol)
11.64828877169544,4.362058704959157,Bentonite clay/Poly(ethylene glycol)
16.821465661569416,4.339850012597444,Bentonite clay/Poly(ethylene glycol)
1,-5.768122144785684,OAP-POSS/Poly(ethylene glycol)
10,-6.644766669159679,OAP-POSS/Poly(ethylene glycol)
11,-6.659402654023874,OAP-POSS/Poly(ethylene glycol)
15,-6.685241897691184,OAP-POSS/Poly(ethylene glycol)
18,-6.691467242116065,OAP-POSS/Poly(ethylene glycol)
0,-0.7018032575326725,Polyaniline/Poly(ethylene glycol)
1,-0.4686235934152718,Polyaniline/Poly(ethylene glycol)
14,2.111117909558243,Polyaniline/Poly(ethylene glycol)
16,5.869376108630952,Polyaniline/Poly(ethylene glycol)
18,1.4941916342543053,Polyaniline/Poly(ethylene glycol)
