Heat Treatment Temperature (°C),Intrinsic Viscosity (dl/g)
3,5.496338785743153,0.77% BaTiO3/P4VP
4,5.019212615076668,0.77% BaTiO3/P4VP
10,8.203228388412573,0.77% BaTiO3/P4VP
3,-1.1730330579045876,0.45% BaTiO3/P4VP
4,-1.2747775936001928,0.45% BaTiO3/P4VP
10,-1.5727456517855083,0.45% BaTiO3/P4VP
3,-6.82820029645236,0.06% BaTiO3/P4VP
4,-6.919864993352329,0.06% BaTiO3/P4VP
10,-7.116564723044133,0.06% BaTiO3/P4VP
3,-6.375571141923967,0.99% BaTiO3/P4VP
4,-5.4379477021438465,0.99% BaTiO3/P4VP
10,-2.891957002799204,0.99% BaTiO3/P4VP
3,1.9185319917345725,0.07% BaTiO3/P4VP
4,1.7542654043279837,0.07% BaTiO3/P4VP
10,1.500576233722142,0.07% BaTiO3/P4VP
