Glass Transition Temperature (°C),Thermal Expansion (1/K)
0.31305898151772427,0.8504927067206602,polyaniline/Poly(alpha-methylstyrene)
14.110293314550312,-0.06911113074788883,polyaniline/Poly(alpha-methylstyrene)
19.601553632631877,-0.16458669854248537,polyaniline/Poly(alpha-methylstyrene)
0.31305898151772427,-1.1157030586879135,cellulose nanocrystals/Poly(alpha-methylstyrene)
14.110293314550312,-2.0791106148447684,cellulose nanocrystals/Poly(alpha-methylstyrene)
19.601553632631877,-2.0910219503962626,cellulose nanocrystals/Poly(alpha-methylstyrene)
0.31305898151772427,4.577921720080049,nanosilica/Poly(alpha-methylstyrene)
14.110293314550312,10.755427493963877,nanosilica/Poly(alpha-methylstyrene)
19.601553632631877,16.01837476068492,nanosilica/Poly(alpha-methylstyrene)
0.31305898151772427,-0.4549844782630157,Furnace black/Poly(alpha-methylstyrene)
14.110293314550312,-1.2921105186755935,Furnace black/Poly(alpha-methylstyrene)
19.601553632631877,-1.3859453992616086,Furnace black/Poly(alpha-methylstyrene)
