Tensile Strength (MPa),Flexural Strength (MPa)
4.872175416118969,7.384116666373391,FKM
13.257527523311943,79.44851290774723,FKM
15.602748841072767,16.151121370792943,FKM
19.805300631549816,-57.2526308130656,FKM
4.872175416118969,-6.854521636703337,Poly(2-vinyl pyridine)
13.257527523311943,-7.113800414966508,Poly(2-vinyl pyridine)
15.602748841072767,-7.121410133178409,Poly(2-vinyl pyridine)
19.805300631549816,-7.128769863959313,Poly(2-vinyl pyridine)
4.872175416118969,10.41774287555374,PMMA
13.257527523311943,-0.40034662309784075,PMMA
15.602748841072767,205.39642684301296,PMMA
19.805300631549816,714.5478527346963,PMMA
4.872175416118969,7.1252620269663325,PVA
13.257527523311943,6.903426830218091,PVA
15.602748841072767,6.892752042383762,PVA
19.805300631549816,6.88620177917852,PVA
