Mixing Time (min),Magnetic Susceptibility
1.4182287309816988,7.1467756846074755,0.65% multi-wall carbon nanotubes
2.989781869321886,7.12524292366075,0.65% multi-wall carbon nanotubes
4.9381284670618815,8.144559970509306,0.65% multi-wall carbon nanotubes
10.358945854880044,8.300450755753626,0.65% multi-wall carbon nanotubes
16.520917643799454,12.832706177481342,0.65% multi-wall carbon nanotubes
18.56969993860812,16.08532007905408,0.65% multi-wall carbon nanotubes
1.4182287309816988,-3.3216453906033383,0.67% multi-wall carbon nanotubes
2.989781869321886,-3.436626081426895,0.67% multi-wall carbon nanotubes
4.9381284670618815,-3.389175253024155,0.67% multi-wall carbon nanotubes
10.358945854880044,-3.8202289949540527,0.67% multi-wall carbon nanotubes
16.520917643799454,-3.951206564737291,0.67% multi-wall carbon nanotubes
18.56969993860812,-3.995810421021124,0.67% multi-wall carbon nanotubes
1.4182287309816988,-0.8118525989980441,0.14% multi-wall carbon nanotubes
2.989781869321886,-1.0663640653657707,0.14% multi-wall carbon nanotubes
4.9381284670618815,-0.038507283932395886,0.14% multi-wall carbon nanotubes
10.358945854880044,1.7909047399696982,0.14% multi-wall carbon nanotubes
16.520917643799454,2.9823397223536467,0.14% multi-wall carbon nanotubes
18.56969993860812,-8.611558310234368,0.14% multi-wall carbon nanotubes
