Degradation Temperature (°C),Remanence (A/m)
2.0951416528436084,-0.9084459367639599,0.87% Barium titanate/Poly(butylene terephthalate)
3.23374511980862,-0.618659405476109,0.87% Barium titanate/Poly(butylene terephthalate)
10.051808422185154,1.5961302247609161,0.87% Barium titanate/Poly(butylene terephthalate)
11.573938635248787,-0.41500800742729993,0.87% Barium titanate/Poly(butylene terephthalate)
2.0951416528436084,8.314290757831039,0.57% Barium titanate/Poly(butylene terephthalate)
3.23374511980862,8.216253524449035,0.57% Barium titanate/Poly(butylene terephthalate)
10.051808422185154,7.9364108898873145,0.57% Barium titanate/Poly(butylene terephthalate)
11.573938635248787,7.91949316623204,0.57% Barium titanate/Poly(butylene terephthalate)
2.0951416528436084,7.571709515922827,0.44% Barium titanate/Poly(butylene terephthalate)
3.23374511980862,7.718616285974655,0.44% Barium titanate/Poly(butylene terephthalate)
10.051808422185154,7.322909185735836,0.44% Barium titanate/Poly(butylene terephthalate)
11.573938635248787,7.242421726489547,0.44% Barium titanate/Poly(butylene terephthalate)
2.0951416528436084,0.37744870014745135,0.07% Barium titanate/Poly(butylene terephthalate)
3.23374511980862,0.0789502914650686,0.07% Barium titanate/Poly(butylene terephthalate)
10.051808422185154,2.6086701532642866,0.07% Barium titanate/Poly(butylene terephthalate)
11.573938635248787,2.3124801498274437,0.07% Barium titanate/Poly(butylene terephthalate)
