wt% (%),Thermal Stability (°C)
6,1.5918412317548893,Poly(vinyl acetate)
7,1.5653078027996195,Poly(vinyl acetate)
9,1.5089000914997914,Poly(vinyl acetate)
11,1.4770371117378132,Poly(vinyl acetate)
14,1.4531516117101522,Poly(vinyl acetate)
6,3.416089974036847,Epoxy novolac viny ester resin
7,2.572436569507569,Epoxy novolac viny ester resin
9,12.868115865424853,Epoxy novolac viny ester resin
11,12.498729016720397,Epoxy novolac viny ester resin
14,25.149643557913855,Epoxy novolac viny ester resin
6,7.303846016540237,PAN
7,7.270004312640371,PAN
9,7.212106113344174,PAN
11,7.18164374778479,PAN
14,7.158258177860721,PAN
