Ion Beam Dose (Gy),Electrochemical Potential (V)
0,-1.9278915969633874,BECy
1,-1.6820009324329872,BECy
2,-1.271989148994999,BECy
3,-0.8062829131405072,BECy
5,1.9846758860129912,BECy
8,16.22102252604531,BECy
19,279.4323949062512,BECy
0,-4.289052671184016,Polyrotaxane
1,-4.640622703986272,Polyrotaxane
2,-4.6389512872497685,Polyrotaxane
3,-4.682788657663672,Polyrotaxane
5,-4.8342312796714895,Polyrotaxane
8,-4.956632229136137,Polyrotaxane
19,-5.273785932022883,Polyrotaxane
0,-1.220176925581273,Bisphenol E cyanate ester resin
1,-0.5706914103252756,Bisphenol E cyanate ester resin
2,-0.02894333473731736,Bisphenol E cyanate ester resin
3,-0.43635509944375617,Bisphenol E cyanate ester resin
5,1.5918184915120888,Bisphenol E cyanate ester resin
8,18.506825270183196,Bisphenol E cyanate ester resin
19,1203.6406399520895,Bisphenol E cyanate ester resin
0,5.36492065717027,Acrylonitrile butadiene styrene
1,5.477699625628047,Acrylonitrile butadiene styrene
2,5.194074643237124,Acrylonitrile butadiene styrene
3,5.1445717737318875,Acrylonitrile butadiene styrene
5,4.946869723589853,Acrylonitrile butadiene styrene
8,4.856700574555139,Acrylonitrile butadiene styrene
19,4.74968772326503,Acrylonitrile butadiene styrene
