Time (s),Adhesion Strength (MPa)
5,6.525514406220092,0.13% Barium titanate/Polyetherketoneketone
7,10.457405362044387,0.13% Barium titanate/Polyetherketoneketone
15,150.76248481142267,0.13% Barium titanate/Polyetherketoneketone
19,85.48228091615378,0.13% Barium titanate/Polyetherketoneketone
8,17.809785480114584,0.04% Barium titanate/Polyetherketoneketone
11,30.08129281938898,0.04% Barium titanate/Polyetherketoneketone
17,89.61799406974094,0.04% Barium titanate/Polyetherketoneketone
19,510.4843356905554,0.04% Barium titanate/Polyetherketoneketone
6,11.614732057574315,0.27% Barium titanate/Polyetherketoneketone
7,15.992127576154818,0.27% Barium titanate/Polyetherketoneketone
13,98.00979383393044,0.27% Barium titanate/Polyetherketoneketone
19,468.12260867593346,0.27% Barium titanate/Polyetherketoneketone
9,7.699677901700362,0.81% Barium titanate/Polyetherketoneketone
14,144.94150300280927,0.81% Barium titanate/Polyetherketoneketone
17,24.898589211154977,0.81% Barium titanate/Polyetherketoneketone
19,37.26760286704117,0.81% Barium titanate/Polyetherketoneketone
3.253154987603881,2.1481277867678727,0.23% Barium titanate/Polyetherketoneketone
13.89608548978475,2.596348093980536,0.23% Barium titanate/Polyetherketoneketone
13.99241214018381,1.3279270423650011,0.23% Barium titanate/Polyetherketoneketone
14.948463675379852,8.229844794797257,0.23% Barium titanate/Polyetherketoneketone
