Light Intensity (W/m²),Coefficient Of Thermal Expansion (1/K)
1.964689201454921,-4.6467982025644705,Silver hexafluoroantimonate/Nylon 11
9.14963272125499,7.926472598290815,Silver hexafluoroantimonate/Nylon 11
16.30545124040285,62.94296285563776,Silver hexafluoroantimonate/Nylon 11
18.248028578460847,-86.74991768832179,Silver hexafluoroantimonate/Nylon 11
19.505539142636895,242.28592454083395,Silver hexafluoroantimonate/Nylon 11
4.874999592227618,2.1721497739853994,graphite (as received)/Nylon 11
7.114906200357545,8.555547759325544,graphite (as received)/Nylon 11
8.895805456743584,8.474033017067853,graphite (as received)/Nylon 11
10.323260571139755,25.132577622193462,graphite (as received)/Nylon 11
11.847049215423414,64.11595407536831,graphite (as received)/Nylon 11
2.516815749069634,-7.473761303271918,Bentonite clay/Nylon 11
6.292382871594482,-7.830403176114135,Bentonite clay/Nylon 11
11.305970993775823,-7.955643630736275,Bentonite clay/Nylon 11
17.635205846361146,-7.984977510382429,Bentonite clay/Nylon 11
18.54159479686369,-7.986335881783941,Bentonite clay/Nylon 11
0.9149335510374312,8.770383794850309,Sodium titanate nanotubes/Nylon 11
8.21953555060549,9.402825743311135,Sodium titanate nanotubes/Nylon 11
13.170788493369248,11.846374422607962,Sodium titanate nanotubes/Nylon 11
14.685059163383386,7.798630884671764,Sodium titanate nanotubes/Nylon 11
19.260789634731765,27.522546375603547,Sodium titanate nanotubes/Nylon 11
