Crystallinity (%),Coercivity (A/m)
0.5456092456852635,0.7869799587529402,0.61% AuNPs
9.11344892857855,0.23969420006691047,0.61% AuNPs
19.2097705437387,0.1880001540400357,0.61% AuNPs
19.595817825251444,0.1877261627265051,0.61% AuNPs
0.5456092456852635,6.149969778319515,0.01% AuNPs
9.11344892857855,7.027967949937503,0.01% AuNPs
19.2097705437387,22.37894935803258,0.01% AuNPs
19.595817825251444,3.104168654283349,0.01% AuNPs
0.5456092456852635,0.5838703612299958,0.08% AuNPs
9.11344892857855,21.275532386790932,0.08% AuNPs
19.2097705437387,-4.029471921860754,0.08% AuNPs
19.595817825251444,264.6988433114083,0.08% AuNPs
0.5456092456852635,4.785655783504029,0.29% AuNPs
9.11344892857855,4.299195513216592,0.29% AuNPs
19.2097705437387,4.2417571568369565,0.29% AuNPs
19.595817825251444,4.241416001681061,0.29% AuNPs
