Storage Time (days),Tensile Modulus (GPa)
3,5.392470826948386,0.43% Zirconium dioxide/PA63T
7,5.155407059746798,0.43% Zirconium dioxide/PA63T
15,4.828211940302873,0.43% Zirconium dioxide/PA63T
16,4.845209042819974,0.43% Zirconium dioxide/PA63T
3,9.206197829335178,0.44% Zirconium dioxide/PA63T
7,8.692487147602698,0.44% Zirconium dioxide/PA63T
15,16.086092650152523,0.44% Zirconium dioxide/PA63T
16,11.66015581252934,0.44% Zirconium dioxide/PA63T
3,-4.414973035550603,0.61% Zirconium dioxide/PA63T
7,-4.804479461412872,0.61% Zirconium dioxide/PA63T
15,-4.904117617378759,0.61% Zirconium dioxide/PA63T
16,-4.907022282252096,0.61% Zirconium dioxide/PA63T
3,2.143845777772572,0.98% Zirconium dioxide/PA63T
7,9.611171147073133,0.98% Zirconium dioxide/PA63T
15,201.87173452783156,0.98% Zirconium dioxide/PA63T
16,203.25870656705285,0.98% Zirconium dioxide/PA63T
