Decomposition Temperature (°C),Remanence (A/m)
1.0410004137496776,7.411863553111074, Graphite/P(VDF-CTFE)
4.710892732904868,6.908015150814337, Graphite/P(VDF-CTFE)
7.82455107592857,6.7720323315474005, Graphite/P(VDF-CTFE)
13.12250050525899,6.6175268321523495, Graphite/P(VDF-CTFE)
16.59559242208803,6.552220784991865, Graphite/P(VDF-CTFE)
1.0410004137496776,8.745334219423539,zinc oxide/P(VDF-CTFE)
4.710892732904868,8.6141930744987,zinc oxide/P(VDF-CTFE)
7.82455107592857,9.724307473547483,zinc oxide/P(VDF-CTFE)
13.12250050525899,13.356494924237097,zinc oxide/P(VDF-CTFE)
16.59559242208803,15.2022370256178,zinc oxide/P(VDF-CTFE)
