Softening Temperature (°C),Electric Field Strength (V/m)
3.8090874505286543,5.1706248918925075,Polybenzimidazole
9.826049610718444,8.727734265901795,Polybenzimidazole
9.92005637473075,7.56364458547899,Polybenzimidazole
13.459199492875978,7.377286895574869,Polybenzimidazole
15.851231563395988,16.166813109190823,Polybenzimidazole
15.908323913474696,15.425973986684097,Polybenzimidazole
17.83980428446191,5.404273656836808,Polybenzimidazole
3.8090874505286543,-2.690762391915858,Nylon 6
9.826049610718444,-2.9529214167311832,Nylon 6
9.92005637473075,-2.9470929684343465,Nylon 6
13.459199492875978,-2.9848556467115164,Nylon 6
15.851231563395988,-2.9933767494659023,Nylon 6
15.908323913474696,-2.994051718979455,Nylon 6
17.83980428446191,-2.997326005962566,Nylon 6
3.8090874505286543,-0.5161308006893832,PHFP
9.826049610718444,1.8974490825049148,PHFP
9.92005637473075,12.384792476575724,PHFP
13.459199492875978,-42.270744762596756,PHFP
15.851231563395988,157.70513300115218,PHFP
15.908323913474696,128.38422472202356,PHFP
17.83980428446191,226.66818507172493,PHFP
