filler labels,Remanence (A/m)
12.427928243607484,5.2998024431408055,MgO/TGDDM
12.820495706464623,7.62225565320623,MgO/TGDDM
15.205727960964362,10.554708810094551,MgO/TGDDM
12.427928243607484,1.312579393234877,Fullerene/TGDDM
12.820495706464623,-1.82243427645991,Fullerene/TGDDM
15.205727960964362,-0.1589709404995423,Fullerene/TGDDM
12.427928243607484,-0.8459529284996417,Cu(HO3PC6H5)2/TGDDM
12.820495706464623,-0.8956563887260216,Cu(HO3PC6H5)2/TGDDM
15.205727960964362,-0.9319265403550334,Cu(HO3PC6H5)2/TGDDM
12.427928243607484,-2.020634536010344,Carbon Black/TGDDM
12.820495706464623,-2.027040540842541,Carbon Black/TGDDM
15.205727960964362,-2.0989586345233424,Carbon Black/TGDDM
12.427928243607484,-1.6186916728915182,Aluminium/TGDDM
12.820495706464623,-1.6288027366404236,Aluminium/TGDDM
15.205727960964362,-1.710342570033704,Aluminium/TGDDM
