Pressure (Pa),Bond Strength (MPa)
1.1877895508794256,-4.794433073023525,0.11% MWNTs/PMA
4.7570789427146964,-2.312690414697678,0.11% MWNTs/PMA
14.481420719328678,90.31572069525589,0.11% MWNTs/PMA
17.639662617587046,-110.2187593623719,0.11% MWNTs/PMA
18.084104538794964,391.3266029556104,0.11% MWNTs/PMA
1.1877895508794256,-5.962337060120011,0.39% MWNTs/PMA
4.7570789427146964,-6.317467787893426,0.39% MWNTs/PMA
14.481420719328678,-6.766195681602314,0.39% MWNTs/PMA
17.639662617587046,-6.828322854285155,0.39% MWNTs/PMA
18.084104538794964,-6.840755311940972,0.39% MWNTs/PMA
1.1877895508794256,-6.293855503002001,0.18% MWNTs/PMA
4.7570789427146964,-6.767792980698505,0.18% MWNTs/PMA
14.481420719328678,-7.001898035691408,0.18% MWNTs/PMA
17.639662617587046,-7.009307467933694,0.18% MWNTs/PMA
18.084104538794964,-7.009859605663707,0.18% MWNTs/PMA
1.1877895508794256,1.644495541902339,0.36% MWNTs/PMA
4.7570789427146964,6.001976077917576,0.36% MWNTs/PMA
14.481420719328678,87.4543156354919,0.36% MWNTs/PMA
17.639662617587046,162.0437919954294,0.36% MWNTs/PMA
18.084104538794964,64.95861987921184,0.36% MWNTs/PMA
1.1877895508794256,-2.240244567508578,0.58% MWNTs/PMA
4.7570789427146964,-0.8804054369338741,0.58% MWNTs/PMA
14.481420719328678,3.3457200581002837,0.58% MWNTs/PMA
17.639662617587046,-6.284267840768714,0.58% MWNTs/PMA
18.084104538794964,12.111211039338183,0.58% MWNTs/PMA
