vol% (%),Tan Delta
0.2595280317430593,-0.43728197152776294,high abrasion furnace black/DGEBF Epoxy Resin
5.3337930636250945,1.6314426370177735,high abrasion furnace black/DGEBF Epoxy Resin
9.899177365983153,29.433859211223854,high abrasion furnace black/DGEBF Epoxy Resin
10.121085338981754,16.29248975935205,high abrasion furnace black/DGEBF Epoxy Resin
14.796198367584987,-32.22282234195815,high abrasion furnace black/DGEBF Epoxy Resin
0.2595280317430593,-0.702903005268567,AuNPs/DGEBF Epoxy Resin
5.3337930636250945,-1.1370589121966028,AuNPs/DGEBF Epoxy Resin
9.899177365983153,1.1823421901168385,AuNPs/DGEBF Epoxy Resin
10.121085338981754,3.058760506697979,AuNPs/DGEBF Epoxy Resin
14.796198367584987,1.8555263175419383,AuNPs/DGEBF Epoxy Resin
0.2595280317430593,8.780265849457688,Fe3O4/DGEBF Epoxy Resin
5.3337930636250945,8.40532411032408,Fe3O4/DGEBF Epoxy Resin
9.899177365983153,8.178693492742818,Fe3O4/DGEBF Epoxy Resin
10.121085338981754,8.224946187112874,Fe3O4/DGEBF Epoxy Resin
14.796198367584987,8.094457480865593,Fe3O4/DGEBF Epoxy Resin
0.2595280317430593,8.182409726607036,expanded graphite/DGEBF Epoxy Resin
5.3337930636250945,8.283347549019862,expanded graphite/DGEBF Epoxy Resin
9.899177365983153,10.252259709988778,expanded graphite/DGEBF Epoxy Resin
10.121085338981754,11.039246203250821,expanded graphite/DGEBF Epoxy Resin
14.796198367584987,14.230658424711807,expanded graphite/DGEBF Epoxy Resin
