wt% (%),Thermal Diffusivity (mm²/s)
1,-2.032408402881132,Nylon 8
8,-2.8864534469455334,Nylon 8
12,-2.9441438566889797,Nylon 8
16,-2.9625858805607224,Nylon 8
19,-2.967527232345286,Nylon 8
1,-5.254925110022549,Poly(propylene)
8,-5.940031978678053,Poly(propylene)
12,-5.997724191233419,Poly(propylene)
16,-6.018142365643175,Poly(propylene)
19,-6.0226867911789785,Poly(propylene)
1,-0.2881050530737066,iPP
8,1.0642833008814852,iPP
12,-0.407078920381474,iPP
16,2.384360641503223,iPP
19,10.107132551196836,iPP
