Curing Time (min),Fracture Toughness (MPa·m^0.5)
1,-5.614873023084926,
15,-6.452878194945469,
17,-6.457255021870872,
18,-6.458985115065123,
1,-2.9647492607554993,
15,-3.693584145137061,
17,-3.6981389173443473,
18,-3.6995790280365144,
1,4.848765096723007,
15,4.218896326799843,
17,4.213133303532662,
18,4.211993745187443,
1,6.957493081605868,
15,113.45808920467552,
17,284.0235849916783,
18,23.59691813172497,
1,6.186698537167795,
15,11.784193571847915,
17,21.71654643211413,
18,14.187941174180894,
