Thermal Diffusivity (mm²/s),Magnetic Susceptibility
0,-1.0910445802839173,PVB
2,-0.8175762764572556,PVB
8,-0.6248330066281118,PVB
9,0.49019473608750497,PVB
11,-1.500686253706247,PVB
19,-0.24382391740325993,PVB
0,-1.1747937345878146,Nylon 6(3)T
2,-1.4742750737397319,Nylon 6(3)T
8,-0.5922109979933099,Nylon 6(3)T
9,0.859523918993284,Nylon 6(3)T
11,0.8738928376356414,Nylon 6(3)T
19,-1.6708899816762663,Nylon 6(3)T
0,-3.2047739279126963,P(VDF-HFP)
2,-3.0229550966553256,P(VDF-HFP)
8,-3.5836960806077616,P(VDF-HFP)
9,-3.603458459581166,P(VDF-HFP)
11,-3.6719067690802887,P(VDF-HFP)
19,-3.862906492080605,P(VDF-HFP)
0,3.0434474772565183,PEA
2,3.1113884677849963,PEA
8,3.873772925982161,PEA
9,5.983231059581106,PEA
11,5.607821860566061,PEA
19,1.1133946271916182,PEA
