Curing Temperature (°C),Degradation Temperature (°C)
1.3583776564678884,-1.3086279257020557,iPP
2.046256669204165,-1.2843334131329442,iPP
12.030729007664666,-1.829408044648865,iPP
14.897310336071975,-1.9039652179237871,iPP
15.323187226758801,-1.9204935471205284,iPP
16.87649911819481,-1.9492954538749654,iPP
1.3583776564678884,2.5431809475776888,PPSF
2.046256669204165,2.3909946137018787,PPSF
12.030729007664666,1.8408682982761553,PPSF
14.897310336071975,1.7475321001647761,PPSF
15.323187226758801,1.7306815122789925,PPSF
16.87649911819481,1.6955643421071922,PPSF
