Solvent Concentration (M),Hysteresis Loss (J/m³)
1.8806792057634558,-1.1829556939218762,0.98% PVA/PTrFE
2.6037050186091726,-1.5148436767648772,0.98% PVA/PTrFE
10.113524514194317,-1.9639235402920079,0.98% PVA/PTrFE
12.755263852560637,-2.0235631632946993,0.98% PVA/PTrFE
12.776930954365133,-2.068083372429238,0.98% PVA/PTrFE
13.929463667039899,-2.0532876097533324,0.98% PVA/PTrFE
2.8469885648078574,-0.1539787767798153,0.51% PVA/PTrFE
7.502796700378567,-0.46445792109430695,0.51% PVA/PTrFE
9.720061225518128,-0.5097215889228406,0.51% PVA/PTrFE
11.287901257491125,-0.5262522956734962,0.51% PVA/PTrFE
15.899738017417508,-0.5526237286504719,0.51% PVA/PTrFE
17.115303049733768,-0.5559987662063273,0.51% PVA/PTrFE
0,4.7444225796827,0.15% PVA/PTrFE
4,4.641792745427673,0.15% PVA/PTrFE
7,5.3154148241773065,0.15% PVA/PTrFE
8,7.08468241185486,0.15% PVA/PTrFE
11,4.499039707987844,0.15% PVA/PTrFE
18,8.737607684100121,0.15% PVA/PTrFE
0,-4.66909530435559,0.44% PVA/PTrFE
1,-4.960993755734719,0.44% PVA/PTrFE
3,-5.1021674213009,0.44% PVA/PTrFE
4,-5.08303398576783,0.44% PVA/PTrFE
16,-5.602785215054425,0.44% PVA/PTrFE
18,-5.627383555623918,0.44% PVA/PTrFE
0.9358962480629618,-2.059124976626434,0.86% PVA/PTrFE
5.607830536011482,-2.3009258968469584,0.86% PVA/PTrFE
8.401679737404956,-2.4718300760660137,0.86% PVA/PTrFE
9.804825394728194,-2.449156291635072,0.86% PVA/PTrFE
13.86300091083399,-2.6542965745871747,0.86% PVA/PTrFE
18.28544617826427,-2.7125366392784684,0.86% PVA/PTrFE
