Curing Time (min),Elastic Modulus (GPa)
1.2931931770353033,-0.19182501485804193,"0.78% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
4.554335921334469,-0.5609901194087957,"0.78% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
7.44047184197991,-0.6343018945988534,"0.78% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.745259832967793,-0.7964325557502285,"0.78% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.773235321631546,-0.8444604458014897,"0.78% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
18.341021903931498,-0.9983360048027843,"0.78% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
1.2931931770353033,-5.662164561984245,"0.51% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
4.554335921334469,-6.275709066902534,"0.51% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
7.44047184197991,-6.422357347838207,"0.51% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.745259832967793,-6.444868957454129,"0.51% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.773235321631546,-6.426693939221635,"0.51% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
18.341021903931498,-6.705231902215986,"0.51% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
1.2931931770353033,-4.906231225895002,"0.28% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
4.554335921334469,-4.833610906565815,"0.28% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
7.44047184197991,-3.967031559313768,"0.28% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.745259832967793,-4.038840034780581,"0.28% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.773235321631546,-4.244733860418743,"0.28% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
18.341021903931498,-0.6053071475011338,"0.28% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
1.2931931770353033,4.98085565308325,"0.01% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
4.554335921334469,4.868283717872773,"0.01% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
7.44047184197991,4.695327938351091,"0.01% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.745259832967793,4.666028582889114,"0.01% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
8.773235321631546,4.684135969560982,"0.01% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
18.341021903931498,4.389220514616757,"0.01% Iron (II,III) Oxide/Poly(alpha-methylstyrene)"
