Dispersing Time (min),Kinematic Viscosity (mm²/s)
2,2.0387494516341675,0.28% BaTiO3/PETE
10,3.9064451543841434,0.28% BaTiO3/PETE
16,7.539762832411915,0.28% BaTiO3/PETE
19,17.625204398859225,0.28% BaTiO3/PETE
1.6796945508310102,8.14452892268465,0.8% BaTiO3/PETE
5.252747489335174,12.812504397130137,0.8% BaTiO3/PETE
8.601925819214163,27.55959485775133,0.8% BaTiO3/PETE
11.004332216020966,35.42424341341189,0.8% BaTiO3/PETE
3.754623911566637,-0.09504067971902519,0.09% BaTiO3/PETE
5.732213855938541,-0.21643460939801196,0.09% BaTiO3/PETE
11.766019053016453,-0.4412360241660348,0.09% BaTiO3/PETE
18.27618267353554,-0.5980064812615933,0.09% BaTiO3/PETE
