Specific Heat Capacity (J/(g·K)),Particle Size Distribution
1,1.754345551997893,0.71% 9-Anthracenemethanol
3,1.4058885890293789,0.71% 9-Anthracenemethanol
9,1.148669648867191,0.71% 9-Anthracenemethanol
10,1.1301680161039989,0.71% 9-Anthracenemethanol
15,0.9817922605210738,0.71% 9-Anthracenemethanol
1,7.9303706957788185,1.0% 9-Anthracenemethanol
3,7.669316397180695,1.0% 9-Anthracenemethanol
9,7.316323220669767,1.0% 9-Anthracenemethanol
10,7.295982287842997,1.0% 9-Anthracenemethanol
15,7.259223149735492,1.0% 9-Anthracenemethanol
1,-6.521359251050862,0.85% 9-Anthracenemethanol
3,-6.453300091825252,0.85% 9-Anthracenemethanol
9,-5.492785587768434,0.85% 9-Anthracenemethanol
10,-3.0506500230590374,0.85% 9-Anthracenemethanol
15,1.3435341577769648,0.85% 9-Anthracenemethanol
1,8.028393204539816,0.15% 9-Anthracenemethanol
3,8.126205034843133,0.15% 9-Anthracenemethanol
9,7.744359930268905,0.15% 9-Anthracenemethanol
10,7.701586387379092,0.15% 9-Anthracenemethanol
15,7.566219639685729,0.15% 9-Anthracenemethanol
1,-6.085264728671555,0.61% 9-Anthracenemethanol
3,-4.140773990362675,0.61% 9-Anthracenemethanol
9,6.120171701220682,0.61% 9-Anthracenemethanol
10,3.273733623753728,0.61% 9-Anthracenemethanol
15,43.911213400979975,0.61% 9-Anthracenemethanol
