Nanoparticle Mass (%),Particle Size (nm)
10.207310992881409,-7.758320951087862,Titanium dioxide/Polylactic acid
14.48371047261345,-7.794735769379331,Titanium dioxide/Polylactic acid
17.35902642350751,-7.803139470901113,Titanium dioxide/Polylactic acid
10.207310992881409,-0.5466725070134465,CCTO ceramics/Polylactic acid
14.48371047261345,-0.5738902985132308,CCTO ceramics/Polylactic acid
17.35902642350751,-0.5809981110250569,CCTO ceramics/Polylactic acid
10.207310992881409,-1.5652869312505322,Copper(II) phenyl phosphate/Polylactic acid
14.48371047261345,-1.735242178035355,Copper(II) phenyl phosphate/Polylactic acid
17.35902642350751,-1.7821810442789967,Copper(II) phenyl phosphate/Polylactic acid
10.207310992881409,0.5850522679537847,Carbon black/Polylactic acid
14.48371047261345,0.5551141594075591,Carbon black/Polylactic acid
17.35902642350751,0.5471615917091435,Carbon black/Polylactic acid
