Crystallinity (%),Electronic Conductivity (S/m)
2,1.7755015380802095,0.84% BaTiO3
8,1.3882706390825033,0.84% BaTiO3
17,1.1241100106736055,0.84% BaTiO3
2,-5.2586489876914815,0.75% BaTiO3
8,-5.716634309312504,0.75% BaTiO3
17,-6.055598767713031,0.75% BaTiO3
2,-5.538292413935261,0.73% BaTiO3
8,-5.960984067592616,0.73% BaTiO3
17,-6.211153915519268,0.73% BaTiO3
2,5.9260620601294445,0.76% BaTiO3
8,6.980581174092258,0.76% BaTiO3
17,11.069565171371387,0.76% BaTiO3
2,-3.006025391273707,0.99% BaTiO3
8,-3.5982601785403547,0.99% BaTiO3
17,-3.9303232955824354,0.99% BaTiO3
