Pore Size (nm),Electrochemical Potential (V)
0.451746487881024,-5.758108872587173,0.75% magnesium oxide/PBAT
4.717659518703787,-5.0668155263269,0.75% magnesium oxide/PBAT
5.780053459325421,-4.3748529580115925,0.75% magnesium oxide/PBAT
7.400741884479364,-3.886486427403531,0.75% magnesium oxide/PBAT
8.27431098840582,-2.959836009288474,0.75% magnesium oxide/PBAT
10.107503216641936,-2.385852814135199,0.75% magnesium oxide/PBAT
0.451746487881024,-1.3573830451173192,0.85% magnesium oxide/PBAT
4.717659518703787,-1.2922188952173252,0.85% magnesium oxide/PBAT
5.780053459325421,-1.3293799429756743,0.85% magnesium oxide/PBAT
7.400741884479364,-1.4326991955622659,0.85% magnesium oxide/PBAT
8.27431098840582,-1.5517850602976466,0.85% magnesium oxide/PBAT
10.107503216641936,-1.5847892162547872,0.85% magnesium oxide/PBAT
0.451746487881024,7.657705802345035,0.13% magnesium oxide/PBAT
4.717659518703787,11.668225781569246,0.13% magnesium oxide/PBAT
5.780053459325421,12.908823833872875,0.13% magnesium oxide/PBAT
7.400741884479364,14.280413922836932,0.13% magnesium oxide/PBAT
8.27431098840582,12.89459004135939,0.13% magnesium oxide/PBAT
10.107503216641936,10.18537913355643,0.13% magnesium oxide/PBAT
0.451746487881024,1.4960461426080196,0.39% magnesium oxide/PBAT
4.717659518703787,3.7745976941089663,0.39% magnesium oxide/PBAT
5.780053459325421,5.703567830735979,0.39% magnesium oxide/PBAT
7.400741884479364,11.27583971406298,0.39% magnesium oxide/PBAT
8.27431098840582,11.472989535980084,0.39% magnesium oxide/PBAT
10.107503216641936,23.779605702440037,0.39% magnesium oxide/PBAT
0.451746487881024,0.9689515039932786,0.36% magnesium oxide/PBAT
4.717659518703787,0.5754843706501597,0.36% magnesium oxide/PBAT
5.780053459325421,0.6000044422173628,0.36% magnesium oxide/PBAT
7.400741884479364,0.4200257636561176,0.36% magnesium oxide/PBAT
8.27431098840582,0.3994746098513028,0.36% magnesium oxide/PBAT
10.107503216641936,0.3264122557653111,0.36% magnesium oxide/PBAT
