Ion Beam Dose (Gy),Dielectric Breakdown Strength (MV/m)
2.3544505910770486,4.421900825587176,0.83% rGO/P(VDF-TrFE-CTFE)
6.334603018715055,11.955365279285406,0.83% rGO/P(VDF-TrFE-CTFE)
8.218713050165938,19.6984748975448,0.83% rGO/P(VDF-TrFE-CTFE)
13.073676906730824,22.091972590634914,0.83% rGO/P(VDF-TrFE-CTFE)
14.906156038544935,150.4477954595692,0.83% rGO/P(VDF-TrFE-CTFE)
16.985630353927903,352.7032767791363,0.83% rGO/P(VDF-TrFE-CTFE)
2.3544505910770486,8.431916113588859,0.97% rGO/P(VDF-TrFE-CTFE)
6.334603018715055,8.214265108408,0.97% rGO/P(VDF-TrFE-CTFE)
8.218713050165938,8.151752530919236,0.97% rGO/P(VDF-TrFE-CTFE)
13.073676906730824,7.9823915954199505,0.97% rGO/P(VDF-TrFE-CTFE)
14.906156038544935,7.962820546160053,0.97% rGO/P(VDF-TrFE-CTFE)
16.985630353927903,7.916133531350981,0.97% rGO/P(VDF-TrFE-CTFE)
2.3544505910770486,8.71498290741313,0.59% rGO/P(VDF-TrFE-CTFE)
6.334603018715055,14.58644003137221,0.59% rGO/P(VDF-TrFE-CTFE)
8.218713050165938,11.70078839001367,0.59% rGO/P(VDF-TrFE-CTFE)
13.073676906730824,89.99051062452253,0.59% rGO/P(VDF-TrFE-CTFE)
14.906156038544935,-6.196059693639993,0.59% rGO/P(VDF-TrFE-CTFE)
16.985630353927903,99.86984914106763,0.59% rGO/P(VDF-TrFE-CTFE)
2.3544505910770486,-4.604144650933067,0.39% rGO/P(VDF-TrFE-CTFE)
6.334603018715055,4.645463677287998,0.39% rGO/P(VDF-TrFE-CTFE)
8.218713050165938,2.7668703597042157,0.39% rGO/P(VDF-TrFE-CTFE)
13.073676906730824,9.26570082309855,0.39% rGO/P(VDF-TrFE-CTFE)
14.906156038544935,-41.42626073952265,0.39% rGO/P(VDF-TrFE-CTFE)
16.985630353927903,82.9601476123686,0.39% rGO/P(VDF-TrFE-CTFE)
2.3544505910770486,3.62614593054956,0.61% rGO/P(VDF-TrFE-CTFE)
6.334603018715055,3.415619444046019,0.61% rGO/P(VDF-TrFE-CTFE)
8.218713050165938,3.279585497783279,0.61% rGO/P(VDF-TrFE-CTFE)
13.073676906730824,3.1552226753423187,0.61% rGO/P(VDF-TrFE-CTFE)
14.906156038544935,3.0776231768329954,0.61% rGO/P(VDF-TrFE-CTFE)
16.985630353927903,3.058675024757005,0.61% rGO/P(VDF-TrFE-CTFE)
