Hardness (HV),Thermal Conductivity (W/(m·K))
6,4.959156260286195,0.53% OAPS/Poly(ethyl methacrylate)
7,4.901681981507593,0.53% OAPS/Poly(ethyl methacrylate)
10,4.8297728515531615,0.53% OAPS/Poly(ethyl methacrylate)
12,4.801055843659297,0.53% OAPS/Poly(ethyl methacrylate)
13,4.793885658415586,0.53% OAPS/Poly(ethyl methacrylate)
6,-3.4206807268189934,1.0% OAPS/Poly(ethyl methacrylate)
7,-3.490217732204042,1.0% OAPS/Poly(ethyl methacrylate)
10,-3.562827984573949,1.0% OAPS/Poly(ethyl methacrylate)
12,-3.5833239742889185,1.0% OAPS/Poly(ethyl methacrylate)
13,-3.592341433159405,1.0% OAPS/Poly(ethyl methacrylate)
6,5.858694028085322,0.2% OAPS/Poly(ethyl methacrylate)
7,5.436423094859987,0.2% OAPS/Poly(ethyl methacrylate)
10,9.014404494450758,0.2% OAPS/Poly(ethyl methacrylate)
12,6.272416841436232,0.2% OAPS/Poly(ethyl methacrylate)
13,2.5142039388858475,0.2% OAPS/Poly(ethyl methacrylate)
