EV (V),Thermal Expansion (1/K)
8.944262576137126,5.7656931412483585,rGO/Polybenzimidazole
10.285866351497619,5.725712195601541,rGO/Polybenzimidazole
17.19575262918064,5.521214056510985,rGO/Polybenzimidazole
17.328133743311064,5.523343284814944,rGO/Polybenzimidazole
4,-1.9562183039064007,"Iron (II,III) Oxide/Polybenzimidazole"
5,-0.8004274862699501,"Iron (II,III) Oxide/Polybenzimidazole"
11,-1.8122416867435243,"Iron (II,III) Oxide/Polybenzimidazole"
16,6.664303950244948,"Iron (II,III) Oxide/Polybenzimidazole"
4.769571962827667,5.027628531559066,MoS2/Polybenzimidazole
8.643427787592122,4.855301311465353,MoS2/Polybenzimidazole
12.692363854577238,4.808489243946949,MoS2/Polybenzimidazole
17.374356430289772,4.792176177365052,MoS2/Polybenzimidazole
6,10.66755999210103,multi-walled CNTs/Polybenzimidazole
14,49.05334604250609,multi-walled CNTs/Polybenzimidazole
15,9.620918928764096,multi-walled CNTs/Polybenzimidazole
17,281.6686197411,multi-walled CNTs/Polybenzimidazole
