Stress (Pa),Fatigue Strength (MPa)
10,6.392217127619692,0.41% dodecylbenzene sulfonic acid
15,6.356681859755434,0.41% dodecylbenzene sulfonic acid
17,6.352600165727258,0.41% dodecylbenzene sulfonic acid
18,6.350784139546766,0.41% dodecylbenzene sulfonic acid
10,19.82198419905866,0.8% dodecylbenzene sulfonic acid
15,150.49764958282023,0.8% dodecylbenzene sulfonic acid
17,392.5959659162122,0.8% dodecylbenzene sulfonic acid
18,45.093309494954504,0.8% dodecylbenzene sulfonic acid
10,-0.9545071770591012,0.12% dodecylbenzene sulfonic acid
15,5.466236016746686,0.12% dodecylbenzene sulfonic acid
17,-3.7494306019175347,0.12% dodecylbenzene sulfonic acid
18,-3.1197411442339673,0.12% dodecylbenzene sulfonic acid
10,4.677060831531269,0.8% dodecylbenzene sulfonic acid
15,4.513078294137325,0.8% dodecylbenzene sulfonic acid
17,4.500328441920249,0.8% dodecylbenzene sulfonic acid
18,4.484109316612437,0.8% dodecylbenzene sulfonic acid
10,3.3234243791096434,0.03% dodecylbenzene sulfonic acid
15,3.283275970787869,0.03% dodecylbenzene sulfonic acid
17,3.2780309801255827,0.03% dodecylbenzene sulfonic acid
18,3.276704123964095,0.03% dodecylbenzene sulfonic acid
