Shear Rate (1/s),Tensile Strength (MPa)
1,3.5858028370347412,0.62% dodecylbenzene sulfonic acid/S-EB-S
10,3.002658334082933,0.62% dodecylbenzene sulfonic acid/S-EB-S
14,2.940895464558423,0.62% dodecylbenzene sulfonic acid/S-EB-S
1,2.732715939957342,0.44% dodecylbenzene sulfonic acid/S-EB-S
10,20.187593827857498,0.44% dodecylbenzene sulfonic acid/S-EB-S
14,75.88824318736003,0.44% dodecylbenzene sulfonic acid/S-EB-S
1,3.522026642174436,0.17% dodecylbenzene sulfonic acid/S-EB-S
10,2.9596781004401653,0.17% dodecylbenzene sulfonic acid/S-EB-S
14,2.7768737600752598,0.17% dodecylbenzene sulfonic acid/S-EB-S
1,-2.9057453581977297,0.68% dodecylbenzene sulfonic acid/S-EB-S
10,-3.598889007998752,0.68% dodecylbenzene sulfonic acid/S-EB-S
14,-3.636798596110844,0.68% dodecylbenzene sulfonic acid/S-EB-S
