Rotational Speed (rpm),Ionic Conductivity (S/m)
0.7396411260801328,6.8442807405674415,0.21% Titanium Dioxide
2.6079375582998465,6.689900269642876,0.21% Titanium Dioxide
13.084010274199242,6.197105395652226,0.21% Titanium Dioxide
15.261109171405696,6.151411508434732,0.21% Titanium Dioxide
16.102897089632613,6.113387435983741,0.21% Titanium Dioxide
16.36590192650229,6.131137038395915,0.21% Titanium Dioxide
0.7396411260801328,6.152624202866161,0.16% Titanium Dioxide
2.6079375582998465,5.758498399949195,0.16% Titanium Dioxide
13.084010274199242,5.331292932119405,0.16% Titanium Dioxide
15.261109171405696,5.321841595348606,0.16% Titanium Dioxide
16.102897089632613,5.318996286347531,0.16% Titanium Dioxide
16.36590192650229,5.318946932033748,0.16% Titanium Dioxide
0.7396411260801328,7.997606929678649,0.12% Titanium Dioxide
2.6079375582998465,7.974861376128376,0.12% Titanium Dioxide
13.084010274199242,7.463088656462076,0.12% Titanium Dioxide
15.261109171405696,7.411361104074135,0.12% Titanium Dioxide
16.102897089632613,7.389857991722012,0.12% Titanium Dioxide
16.36590192650229,7.369283595454588,0.12% Titanium Dioxide
